a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
939268730386821121,71.0,5.0,0,1,2017-12-08 23:01:30,True,False,0.0,0,1.0,True,MiguelA91596843,15,0,0,0,1,1,1,13.3076923077,14.6,5,1,False
2154490684,102.75,8.69,54943300,1,2013-10-26 15:59:22,True,False,259156.58239911636,0,0.529555149299,True,RubioSat,8,1,0,0,0,1027,0,3.35632183908,11.8,1641,0,False
113412511,86.45,7.36,15540750,2,2010-02-11 17:38:22,False,False,35368.09757026804,11,0.574551131928,True,Juderias,8,1,0,0,0,7299,0,0.884110787172,10.8,1281,0,False
2208662774,128.71428571428572,13.8571428571,18338272142,3,2013-11-22 09:22:17,True,False,55041362.54644431,0,0.769841269841,True,PVSB77,6,0,0,0,0,7,0,11.1428571429,11.9,126,0,False
778274580,132.4,8.68,24671170,1,2012-08-24 14:19:17,True,False,248872.7150193448,0,0.502896871379,True,apmaragon,9,1,0,0,0,1481,0,0.68306010929,11.7,1726,0,False
991958586501677056,14.0,2.0,0,1,2018-05-03 08:32:11,True,False,0.0,0,1.0,True,AnsariS02421675,15,0,0,0,1,1,0,21.5,0,2,1,False
759740495908134912,106.6,7.7,3469251000,1,2016-07-31 13:20:24,True,False,13045157.627189673,0,0.461077844311,True,AgustinroqueRey,15,1,0,0,1,10,0,28.2941176471,12.7,167,0,False
955033631713648647,125.8,10.15,3648570,1,2018-01-21 11:05:36,True,False,31811.710177071585,15,0.579007415859,True,saracn10,8,0,0,0,0,1946,0,3.05555555556,12.2,1753,0,False
2749618658,95.55,8.42,6734280,1,2014-08-20 16:51:10,False,False,23629.197722891484,21,0.600570613409,True,CFusaru06,9,0,0,0,0,8292,0,2.07504690432,11.1,1402,0,False
469148444,125.1,9.31,67606940,2,2012-01-20 08:53:11,True,False,202382.03423238933,0,0.514648977336,True,JulianBeatobe,13,1,0,0,0,2078,0,0.99481865285,13.7,1809,0,False
984020119914450950,65.0,7.625,565821125,1,2018-04-11 10:47:33,True,False,1796142.7670271473,0,0.884057971014,True,AngelAgn13,10,0,0,0,0,8,0,2.28571428571,9.1,69,0,False
1630939507,129.35,8.28,182725790,2,2013-07-29 18:02:02,False,False,443604.77870655316,0,0.454196379594,True,azaft_org,9,0,0,0,0,1277,0,0.148148148148,12.6,1823,0,False
846228554,134.3,7.5,316952930,3,2012-09-25 21:04:57,False,False,2266675.5764711658,1,0.411861614498,True,TrenUtrillas,12,1,0,0,0,1261,0,0.170967741935,13.5,1821,0,False
989102678,102.9,6.21,49385240,1,2012-12-04 16:31:29,True,False,1140066.3011653698,0,0.3312,True,Sonicorleone,12,1,0,0,0,262,0,19.125,11.2,1875,0,False
4905074344,120.4,8.78,33690640,2,2016-02-13 15:10:01,False,False,159698.95875415092,4,0.54909318324,True,nazionobrera,12,1,0,0,0,482,0,0.742753623188,13.2,1599,0,False
395286674,87.95,7.81578947368,3189733421,2,2011-10-21 12:45:20,True,False,19528066.602601774,0,0.647058823529,True,SaulPresa,9,1,0,0,0,38,0,2.58620689655,12.1,459,0,False
981186163787608064,137.08333333333334,12.4166666667,259424166,1,2018-04-03 15:06:25,True,False,832251.6932606017,0,0.706161137441,True,social_rotativo,15,0,0,0,0,12,1,12.8507462687,13.0,211,0,False
325741089,125.2,10.74,24892970,2,2011-06-28 19:58:07,False,False,198118.28149448373,6,0.55389375967,True,Avilaguti,9,1,0,0,0,3643,0,1.40338164251,12.7,1939,0,False
988397534350635008,131.65,13.1818181818,169121818,1,2018-04-23 12:41:50,True,False,119667.71988360102,0,0.685579196217,True,MiguelABayo,11,1,0,0,1,22,0,21.5609756098,12.6,423,0,False
843134856540422145,121.95,9.24,26667150,2,2017-03-18 16:19:49,False,False,106816.38973261547,0,0.523216308041,True,OCMZaragoza,11,1,0,0,0,847,0,1.58128078818,12.4,1766,0,False
237175564,122.05,9.02,112775490,1,2011-01-12 07:24:09,True,False,409089.52497216,0,0.578947368421,True,btrizzz5,8,0,0,0,0,123,0,6.77192982456,11.9,1558,0,False
3299763892,103.85,6.67647058824,1111732323,1,2015-05-26 20:25:31,True,False,11130031.335669143,0,0.5360094451,True,MbvayoV,7,1,0,0,0,68,0,4.08823529412,11.1,847,0,False
890284985344720897,133.6,10.36,12150300,1,2017-07-26 18:57:36,True,False,84399.32836290819,5,0.533745492014,True,ismael_vicedo,13,0,0,0,0,3233,0,3.0,13.2,1941,0,False
15968772,127.45,10.32,608858180,1,2008-08-24 13:40:15,True,False,5897077.919191271,1,0.577181208054,True,elizabiaga,10,1,0,0,0,1874,0,0.649068322981,11.9,1788,0,False
983433669615472640,0,0,0,0,2018-04-09 19:57:12,True,False,0,0,0,True,Vanessa77224300,15,0,0,0,0,0,0,36.25,0,0,0,False
124813929,114.3,7.69,1577520190,1,2010-03-20 17:14:13,False,False,4085198.472383239,0,0.666377816291,True,LUISCARCE,9,1,0,0,0,139,0,28.8,11.9,1154,0,False
288799905,129.3,11.75,59256550,3,2011-04-27 14:02:24,False,False,507313.37420065125,0,0.601638504864,True,ajcasamayor,11,1,0,0,0,1341,0,4.2962962963,10.1,1953,0,False
2534267423,127.3,10.7,11307380,1,2014-05-07 18:59:19,True,False,23915.393566226336,0,0.550411522634,True,kkustras,8,1,0,0,0,7578,0,0.73046875,12.0,1944,0,False
143753080,54.5,1.86,8291930,1,2010-05-14 09:07:36,True,False,51768.59927202493,2,0.283105022831,True,tiotiosobrino1,14,0,0,0,0,361,0,26.1630434783,9.2,657,0,False
